type,value,count,hosts,rules,first_seen,last_seen
domain,example.local,15,FS-02;WS-101;WS-301;WS-401,DNS Lookup Discovery;MSHTA Remote Load;PowerShell DownloadString Execution;PowerShell Invoke-Expression;Regsvr32 Scriptlet Execution;Suspicious Web Download,2026-01-15T09:04:00+00:00,2026-01-15T10:16:00+00:00
ip,192.168.10.55,1,FS-02,Suspicious Web Download,2026-01-15T10:16:00+00:00,2026-01-15T10:16:00+00:00
md5,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,FS-02,Suspicious Web Download,2026-01-15T10:16:00+00:00,2026-01-15T10:16:00+00:00
path,C:\Temp\finance_archive.7z,6,FS-02,Archive Collected Files;MEGA CLI Exfiltration Tool;Rclone Cloud Exfiltration Tool,2026-01-15T10:10:00+00:00,2026-01-15T10:14:00+00:00
path,C:\ProgramData\demo-updater.exe,3,WS-501,Registry Run Key Modification;Scheduled Task Creation;Windows Service Creation,2026-01-15T10:20:00+00:00,2026-01-15T10:24:00+00:00
path,C:\Temp,2,WS-601,Microsoft Defender Disable Attempt,2026-01-15T10:36:00+00:00,2026-01-15T10:36:00+00:00
path,C:\Temp\demo.dll,2,WS-401,InstallUtil Proxy Execution,2026-01-15T10:05:00+00:00,2026-01-15T10:05:00+00:00
path,C:\Temp\demo.inf,2,WS-401,CMSTP UAC Bypass Pattern,2026-01-15T10:01:00+00:00,2026-01-15T10:01:00+00:00
path,C:\Temp\demo.proj,2,WS-401,MSBuild Inline Task Execution,2026-01-15T10:03:00+00:00,2026-01-15T10:03:00+00:00
path,C:\Temp\ifm-simulated,2,SRV-DC01,NTDS.dit Dump Attempt,2026-01-15T09:16:00+00:00,2026-01-15T09:16:00+00:00
path,C:\Temp\lsass_simulated.dmp,2,SRV-DC01,LSASS Dump Attempt,2026-01-15T09:10:00+00:00,2026-01-15T09:10:00+00:00
path,C:\Temp\sam.save,2,SRV-DC01,SAM SYSTEM Hive Save,2026-01-15T09:12:00+00:00,2026-01-15T09:12:00+00:00
path,C:\Temp\system.save,2,SRV-DC01,SAM SYSTEM Hive Save,2026-01-15T09:13:00+00:00,2026-01-15T09:13:00+00:00
path,C:\Users\designer\Documents,2,WS-701,Archive Collected Files,2026-01-15T10:46:00+00:00,2026-01-15T10:46:00+00:00
path,C:\Windows,2,WS-401,Forfiles Proxy Execution,2026-01-15T10:07:00+00:00,2026-01-15T10:07:00+00:00
path,C:\Progra,1,WS-501,PowerShell New-Service Persistence,2026-01-15T10:26:00+00:00,2026-01-15T10:26:00+00:00
path,C:\ProgramData\dem,1,WS-501,Windows Service Creation,2026-01-15T10:24:00+00:00,2026-01-15T10:24:00+00:00
path,C:\ProgramData\demo,1,WS-501,Scheduled Task Creation,2026-01-15T10:22:00+00:00,2026-01-15T10:22:00+00:00
path,C:\ProgramData\demo-svc.exe,1,WS-501,PowerShell New-Service Persistence,2026-01-15T10:26:00+00:00,2026-01-15T10:26:00+00:00
path,C:\ProgramData\demo-u,1,WS-501,Registry Run Key Modification,2026-01-15T10:20:00+00:00,2026-01-15T10:20:00+00:00
path,C:\ProgramData\stage1.ps1,1,WS-101,Suspicious Web Download,2026-01-15T09:04:00+00:00,2026-01-15T09:04:00+00:00
path,C:\ProgramData\updat,1,WS-203,Windows Service Creation,2026-01-15T09:39:00+00:00,2026-01-15T09:39:00+00:00
path,C:\ProgramData\update-sim.exe,1,WS-203,Windows Service Creation,2026-01-15T09:39:00+00:00,2026-01-15T09:39:00+00:00
path,C:\Shares\Fi,1,FS-02,Archive Collected Files,2026-01-15T10:10:00+00:00,2026-01-15T10:10:00+00:00
path,C:\Shares\Finance\*.xlsx,1,FS-02,Archive Collected Files,2026-01-15T10:10:00+00:00,2026-01-15T10:10:00+00:00
path,C:\Temp\doc,1,WS-701,Archive Collected Files,2026-01-15T10:46:00+00:00,2026-01-15T10:46:00+00:00
path,C:\Temp\documents.zip,1,WS-701,Archive Collected Files,2026-01-15T10:46:00+00:00,2026-01-15T10:46:00+00:00
path,C:\Temp\psexesvc.log,1,WS-202,PsExec Remote Service Pattern,2026-01-15T09:37:00+00:00,2026-01-15T09:37:00+00:00
path,C:\Temp\rclone.log,1,FS-02,Rclone Cloud Exfiltration Tool,2026-01-15T10:12:00+00:00,2026-01-15T10:12:00+00:00
path,C:\Users\designer\AppData\Local\Google\Chrome\User,1,WS-701,Browser Credential Store Access,2026-01-15T10:40:00+00:00,2026-01-15T10:40:00+00:00
url,https://example.local/bootstrap.txt,4,WS-101,PowerShell DownloadString Execution;PowerShell Invoke-Expression;Suspicious Web Download,2026-01-15T09:06:00+00:00,2026-01-15T09:06:00+00:00
url,http://example.local/demo.hta,2,WS-401,MSHTA Remote Load,2026-01-15T09:55:00+00:00,2026-01-15T09:55:00+00:00
url,http://example.local/demo.sct,2,WS-401,Regsvr32 Scriptlet Execution,2026-01-15T09:59:00+00:00,2026-01-15T09:59:00+00:00
url,https://example.local/stage1.ps1,2,WS-101,Suspicious Web Download,2026-01-15T09:04:00+00:00,2026-01-15T09:04:00+00:00
url,https://example.local/,1,WS-101,Suspicious Web Download,2026-01-15T09:06:00+00:00,2026-01-15T09:06:00+00:00
url,https://example.local/checkin?id=192.16,1,FS-02,Suspicious Web Download,2026-01-15T10:16:00+00:00,2026-01-15T10:16:00+00:00
url,https://example.local/checkin?id=192.168.10.55&hash=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,FS-02,Suspicious Web Download,2026-01-15T10:16:00+00:00,2026-01-15T10:16:00+00:00
